family	popularity	description
Pirc Defense	10	1.e4 d6 2.d4 Nf6 3.Nc3 g6: hypermodern — Black lets White build a big pawn centre, then attacks it with ...Bg7, ...c5 or ...e5 breaks. Sharp, double-edged play; both sides are usually castling on opposite wings or racing for the centre. Suits aggressive players who like dynamic, theoretical-but-not-overwhelming openings and don't mind defending a slightly worse position to play for the counterattack.
Queen's Gambit	11	1.d4 d5 2.c4: White offers a flank pawn to deflect Black's d-pawn and seize the centre. The cornerstone of classical 1.d4 play — leads to the Queen's Gambit Declined (the most respected mainline reply), the Slav, the QGA, and the Semi-Slav. The most theoretical 1.d4 system but rewards strategic understanding more than memorisation. Suits positional players who want a principled, time-tested White repertoire.
Nimzowitsch Defense	12	1.e4 Nc6: Black challenges the centre with a knight before deciding on a pawn structure. Avoids most of White's prepared 1.e4 theory and steers the game into less-charted positions where understanding beats memorisation. Solid but offbeat — a good choice for players who want to dodge mainline preparation as Black against 1.e4.
English Opening	13	1.c4: a flank opening where White stakes a claim on d5 from the side instead of pushing a centre pawn. Hugely flexible — can transpose into Reversed Sicilians, the Catalan, or pure English structures with a fianchettoed king's bishop and Nc3 pressure. Beloved by strategic, manoeuvring players who like rich middlegames over forcing lines.
Philidor Defense	14	1.e4 e5 2.Nf3 d6: a solid but passive setup that prioritises pawn structure over piece activity. Black accepts a cramped position with the goal of slowly equalising. Less common at high levels because Black's pieces struggle for breathing room, but a reliable workhorse for defensive players who don't want to learn Sicilian theory.
Vienna Game	16	1.e4 e5 2.Nc3: combines classical Italian-style development with the threat of an early f4 (the Vienna Gambit) for a surprise attacking game. Less theoretical than the Ruy Lopez and richer than the Italian — a great middle-ground for attacking 1.e4 players who want flexibility between quiet positional play and sharp gambit lines.
Modern Defense	17	1.e4 g6 (or 1.d4 g6): pure hypermodernism — Black fianchettoes the king's bishop on move one and decides on a central plan later. Ultra-flexible: can transpose to the Pirc, the King's Indian, or independent Modern lines. Suits creative, transpositional players who like positions where understanding beats memorisation, and who don't mind giving White a temporary space advantage to counterstrike later.
Scotch Game	18	1.e4 e5 2.Nf3 Nc6 3.d4: White breaks the centre immediately and forces simplifications — straightforward, tactical, and far less theoretical than the Ruy Lopez. Often produces clear-cut middlegames where one side is up a tempo or has the better structure. Suits attacking players who want a principled 1.e4 weapon they can master in a weekend.
Ruy Lopez	19	1.e4 e5 2.Nf3 Nc6 3.Bb5: the gold standard of 1.e4 — White attacks Black's defender of e5 and angles for a long-term grip on the centre. Deep theory across a dozen mainlines (Berlin, Marshall, Closed, Open, Exchange) but rewards the work: White scores ~55% in master games. The deepest, richest classical opening — what serious 1.e4 players graduate to once the Italian feels too placid.
Petrov's Defense	20	1.e4 e5 2.Nf3 Nf6: Black answers the attack on e5 by counter-attacking e4 instead of defending. Famous for being drawish at the top level — Black aims to equalise quickly and reach symmetrical, balanced middlegames. A reliable, low-risk defense with no need for deep memorisation. Suits patient, accurate players who want to neutralise sharp 1.e4 attackers.
Queen's Gambit Declined	21	1.d4 d5 2.c4 e6: the most respected mainline response to the Queen's Gambit. Black holds the centre with a solid pawn chain (e6 + d5), develops naturally, and plays for slow, structural equalisation. Cornerstone of classical Black repertoires — Capablanca, Karpov, Carlsen all leaned on it. Suits patient positional players who want a battle-tested defense against 1.d4 with rich strategic content.
King's Indian Defense	22	1.d4 Nf6 2.c4 g6: Black gives up the centre, fianchettoes the king's bishop, and aims for a kingside pawn storm later (...f5, ...g5, ...f4) while White expands on the queenside. One of the most uncompromising openings in chess — both sides race their attacks on opposite wings. Beloved by attacking players (Fischer, Kasparov, Nakamura) who want maximum winning chances with the black pieces.
Slav Defense	23	1.d4 d5 2.c4 c6: like the QGD but Black supports d5 with the c-pawn instead of the e-pawn, keeping the light-squared bishop free. Famously solid — the c6 pawn anchors d5 and the bishop can develop actively. Lower theory than the QGD or Semi-Slav and very hard to break down. Suits structural, classical players who want a no-nonsense reply to 1.d4.
Nimzo-Indian Defense	24	1.d4 Nf6 2.c4 e6 3.Nc3 Bb4: Black pins the c3 knight and threatens to double White's c-pawns — combining classical centre control with hypermodern pressure on the long diagonal. Considered one of the soundest Black defenses against 1.d4 ever invented, played at every level from beginner to world champion. Suits strategic players who like positions where structure and piece coordination decide the game.
Queen's Gambit Accepted	25	1.d4 d5 2.c4 dxc4: Black grabs the gambit pawn and concedes the centre, planning to return the pawn later in exchange for active piece play and an isolated queen pawn target on d4. More forcing than the QGD and far less theoretical. Suits dynamic players who like to give back a small structural concession for active piece play.
Semi-Slav Defense	26	1.d4 d5 2.c4 c6 3.Nc3 Nf6 4.Nf3 e6: combines the Slav (...c6) and the QGD (...e6) for the most flexible — and theoretically richest — defense to 1.d4. Lines like the Meran, the Botvinnik, and the Anti-Moscow are some of the sharpest in all of chess. The opening of choice for players who want maximum complexity and winning chances out of an objectively solid defense.
Grünfeld Defense	27	1.d4 Nf6 2.c4 g6 3.Nc3 d5: pure hypermodernism — Black lets White build a huge pawn centre on d4 + e4 + c4, then dismantles it with ...c5, ...Bg7 pressure on the long diagonal, and tactical pinpricks at every move. One of the most theoretically demanding Black defenses but deadly when prepared. Suits sharp, well-prepared attacking players (Fischer, Kasparov, Svidler).
Catalan Opening	28	1.d4 Nf6 2.c4 e6 3.g3: White fianchettoes the king's bishop on g2 and plays for long-term pressure on the long diagonal and on Black's queenside. Considered one of the most positionally demanding openings in chess — Karpov, Kramnik, and Carlsen all swear by it. Suits patient, positional players who like to squeeze out wins from minimal advantages over 60-move games.
Dutch Defense	29	1.d4 f5: Black takes the kingside fight to White from move one, accepting structural weaknesses (a backward e-pawn, weak king) for active piece play and attacking chances. Three main variations (the Leningrad with ...g6, the Stonewall with ...d5/...e6/...c6, the Classical with ...e6) give very different middlegame characters. Suits aggressive players who want to play for the win as Black against 1.d4.
Alekhine Defense	30	1.e4 Nf6: Black provokes White into pushing pawns (e5, d4, c4, sometimes f4) and then attacks the overextended centre with ...d6, ...c5, and counterstrokes against the d4 pawn. A pure provocation opening — Black welcomes the space disadvantage, banking on White's pawns becoming weaknesses. Suits creative players who like asymmetrical positions and don't mind defending precisely.
Nimzo-Larsen Attack	31	1.b3: a flexible flank opening where White fianchettoes the queen's bishop on b2 and steers the game into hypermodern positions. Less theoretical than mainline 1.d4 / 1.e4 systems and very hard for Black to prepare against. Named after Aron Nimzowitsch and Bent Larsen, who used it to reach the world championship candidates. Suits flexible, transpositional players.
Trompowsky Attack	32	1.d4 Nf6 2.Bg5: White pins the f6 knight on move two, threatening to double Black's pawns or trade the bishop for the knight — disrupting Black's normal development. A great anti-Indian weapon that sidesteps the King's Indian, Nimzo, and Grünfeld in one move. Lower theory than mainline 1.d4 systems and a favourite of attacking players who want to dodge prepared Black defenses.
King's Indian Attack	33	1.Nf3 followed by g3, Bg2, d3, Nbd2, e4 — the King's Indian setup played with White (a tempo up). A pure system opening: White plays the same moves regardless of what Black does, then strikes with e5 or kingside expansion. Easy to learn, hard to refute. Suits players who want a low-theory White system they can apply against any Black setup.
London System	34	1.d4 followed by Bf4 (and c3, e3, Nf3, Nbd2): a system opening where White plays the same setup regardless of Black's response. Solid, durable, and almost impossible for Black to mess up against — but also rarely produces an opening advantage. Famous as a beginner-friendly weapon that scales all the way to the world championship (Carlsen used it). Suits players who want zero opening prep and a reliable middlegame.
Benoni Defense	35	1.d4 Nf6 2.c4 c5 (and after 3.d5 e6): Black creates an asymmetric pawn structure with the half-open e-file and dynamic queenside play. Sharp and double-edged — Black has long-term weaknesses but counts on active piece play and the ...b5 break. Suits aggressive players who want to fight for the initiative as Black against 1.d4.
Bird Opening	36	1.f4: White stakes a kingside claim immediately, planning a Stonewall-style setup or a Leningrad reversed. Sharp and offbeat — accepts a slightly weakened king for kingside attacking chances. A great surprise weapon at club level; rare at the top because of how committal it is.
King's Gambit	37	1.e4 e5 2.f4 (umbrella for both Accepted and Declined): the most romantic opening in chess history. White sacrifices a pawn to crack open the centre and the f-file. See "King's Gambit Accepted" / "King's Gambit Declined" for the specific branches.
King's Gambit Accepted	37	1.e4 e5 2.f4 exf4: the most famous gambit in chess history — White sacrifices a pawn to open the f-file and the centre, banking on initiative and rapid attack. Almost unplayable at modern top level (computers like 2...exf4 too much), but a dazzling tactical tourist trail at club level. Suits romantic, attacking players who want sharp lines and crushing attacks even at the cost of objective soundness.
Queen's Indian Defense	38	1.d4 Nf6 2.c4 e6 3.Nf3 b6: Black fianchettoes the queen's bishop to b7 and plays for control of e4 and the long diagonal — a solid, ultra-respectable Black system that complements the Nimzo-Indian (which Black plays when White goes 3.Nc3 instead). Suits structural players who want a solid, theory-light pair of replies to 1.d4 with the Nimzo + QID combo.
Bogo-Indian Defense	39	1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+: like the Nimzo, but Black checks before White plays Nc3, reaching slightly different (and lower-theory) middlegames. A pragmatic alternative to the Nimzo for Black players who want similar ideas without learning the deeper Nimzo theory.
Tarrasch Defense	40	1.d4 d5 2.c4 e6 3.Nc3 c5: Black accepts an isolated queen pawn (after dxc5 and ...exd5) for active piece play. Considered one of the most principled (and one of the riskiest) Black defenses against the Queen's Gambit. Suits dynamic players who prefer active pieces over a stronger pawn structure.
Four Knights Game	41	1.e4 e5 2.Nf3 Nc6 3.Nc3 Nf6: classical symmetrical development before any commitment. Often leads to the Glek (4.g3), the Spanish (4.Bb5), or the Italian (4.Bc4) setups. A clean way to play 1.e4 e5 from either side without diving into Ruy Lopez theory.
Old Indian Defense	42	1.d4 Nf6 2.c4 d6: like the King's Indian but with ...d6 first and a slower, more flexible setup. Black often delays ...g6 and plays a small-centre defense aiming for ...e5. Solid, low-theory alternative to the KID for players who like the structures but not the sharp memorisation.
Zukertort Opening	43	1.Nf3 with the idea of a slow positional buildup (often with d4 + e3 + b3 / Bb2). Reaches Reversed Slav, Colle, or Catalan structures depending on how Black responds. Practical and flexible — a favourite for transpositional players who want to dodge mainline 1.d4 / 1.e4 theory.
Indian Defense	44	1.d4 Nf6: the umbrella catch-all for any 1.d4 Nf6 line that hasn't yet committed to a system. Almost always transposes into the King's Indian, Nimzo, Bogo, Queen's Indian, Grünfeld, or Old Indian. Listed here for completeness — practically you'll be in one of those families by move 4.
Hungarian Opening	45	1.g3 — see "King's Fianchetto Opening". This entry collects lines that start 1.g3 and stay independent (rather than transposing to the English or Réti). Solid hypermodern setup with fianchetto pressure on the long diagonal.
King's Gambit Declined	46	1.e4 e5 2.f4 with Black declining to take the f-pawn. Black avoids the sharpest Accepted lines and plays for a normal central battle, often with ...Bc5 or ...d6 setups. A practical anti-Gambit response that doesn't require the heavy theoretical knowledge of accepting.
Pterodactyl Defense	47	1.d4 g6 / 1.e4 g6 with an early ...c5 — a hypermodern, highly transpositional Modern/Sicilian hybrid where Black fianchettoes and pushes ...c5 to challenge the centre. Offbeat but theoretically sound; a niche favourite of players who want unfamiliar middlegame structures.
Center Game	48	1.e4 e5 2.d4: White breaks the centre on move two, accepting an early queen sortie after 2...exd4 3.Qxd4 in exchange for development pressure. Largely abandoned at master level (the queen on d4 wastes time when Black plays ...Nc6) but a tricky surprise weapon at club level. Suits attacking players who like sharp, forcing lines.
Three Knights Opening	49	1.e4 e5 2.Nf3 Nc6 3.Nc3 (with Black not yet playing ...Nf6): a flexible classical setup, often a stepping stone to the Four Knights or the Italian. Low theory but rarely produces an opening edge.
Vienna Gambit, with Max Lange Defense	50	1.e4 e5 2.Nc3 Nf6 3.f4 d5: a sharp gambit branch of the Vienna where Black hits back in the centre instead of accepting. Tactically rich, theoretically narrow — a great surprise weapon for both colours.
Ponziani Opening	51	1.e4 e5 2.Nf3 Nc6 3.c3: White prepares an immediate d4 push to grab the centre. Mostly a sideline at modern top level (Black equalises with 3...d5 or 3...Nf6) but a fun club-level surprise weapon for attacking players.
Latvian Gambit	52	1.e4 e5 2.Nf3 f5: an aggressive, dubious-but-tricky gambit where Black throws the f-pawn to disrupt White's centre. Objectively bad, but produces dazzling tactics if White doesn't know the antidote. Pure surprise weapon territory.
Latvian Gambit Accepted	52	(see Latvian Gambit) — White takes the offered f-pawn; tactical chaos follows.
Elephant Gambit	53	1.e4 e5 2.Nf3 d5: Black sacrifices a pawn for piece activity and an open centre. Refuted at the top level, dangerous at club level — exactly the kind of "I bet they don't know this" weapon some players love.
Englund Gambit	54	1.d4 e5: Black sacrifices a pawn on move one to open the position and trick White into a back-rank disaster (the famous Englund mate trap). Unsound against accurate play but hilarious when it works. A tournament-trap weapon, not a serious repertoire choice.
Englund Gambit Declined	55	1.d4 e5 2.dxe5 with subtler Black follow-ups (or White declining outright with 2.d5). The non-trap Englund branch — usually transposes into a worse-Black Old Indian or pawn-down position with no compensation.
Polish Opening	56	1.b4 (the Sokolsky/Orangutan): White grabs the queenside immediately and fianchettoes the queen's bishop on b2. Offbeat and rare at master level but has a small following among club players who want to dodge mainline preparation. Unbalanced positions with good practical chances at lower levels.
Blackmar-Diemer Gambit	57	1.d4 d5 2.e4: White sacrifices a pawn in the centre for rapid development and attacking chances against Black's king. Unsound at top level (Black just keeps the pawn), but a famously dangerous club-level weapon. Suits aggressive 1.d4 players who want chaos.
Blackmar-Diemer Gambit Accepted	58	1.d4 d5 2.e4 dxe4: see Blackmar-Diemer Gambit. The mainline accepted branch.
Blackmar-Diemer Gambit Declined	59	1.d4 d5 2.e4 (Black declines): less critical than the accepted lines; usually leads to French- or Caro-style structures where White's gambit was a wasted pawn move.
Benko Gambit	60	1.d4 Nf6 2.c4 c5 3.d5 b5: Black sacrifices the b-pawn for long-term queenside pressure on the half-open a- and b-files. A famously positional gambit — Black's compensation is structural, not tactical. Suits patient strategic players who like to play down a pawn for the long-term grind.
Benko Gambit Accepted	60	(see Benko Gambit family)
Benko Gambit Declined	61	1.d4 Nf6 2.c4 c5 3.d5 b5 with White declining to take. Avoids the sharp accepted lines but usually concedes Black easy equality. The pragmatic anti-Benko response.
Richter-Veresov Attack	62	1.d4 d5 2.Nc3 Nf6 3.Bg5: White pins the f6 knight early and plays for an aggressive setup against the Queen's Pawn structure. Offbeat at master level but a sharp club-level weapon that sidesteps the heaviest 1.d4 theory.
Torre Attack	63	1.d4 Nf6 2.Nf3 e6 3.Bg5: White develops the queen's bishop actively before committing to a system. Solid, low-theory, and a favourite of players who want a flexible 1.d4 weapon that avoids the King's Indian and Grünfeld jungles.
Colle System	64	1.d4 d5 2.Nf3 Nf6 3.e3: White builds a pyramid (d4 + e3 + c3) and aims for the kingside attack with a later e4 break. A pure system opening — White plays the same setup every game. Easy to learn, decent results at club level, lacks bite at master level.
Rubinstein Opening	65	1.d4 d5 2.Nf3 Nf6 3.e3 (Akiba Rubinstein's pet system) — leads to similar structures as the Colle and the QGD Exchange. Solid, low-theory, suited to positional players.
Rapport-Jobava System	66	1.d4 Nf6 2.Nc3 (with an early Bf4): a tricky modern London-system cousin played by Rapport and Jobava. Avoids mainline 1.d4 theory and aims for unbalanced middlegames. Surprisingly hard to prepare against.
Neo-Grünfeld Defense	67	1.d4 Nf6 2.c4 g6 3.g3 d5: a Grünfeld where White fianchettoes and avoids the sharpest mainlines. Lower theory than the regular Grünfeld and a pragmatic alternative for both colours.
Queen's Indian Defense, with e3	68	A QID branch where White plays a quieter setup with e3 instead of the mainline g3 / Bg2. Less ambitious and rarely seen at top level.
Queen's Indian Defense, with e3, Bb4+ Line	69	A specific QID-with-e3 sub-variation where Black checks early. Highly transpositional sideline.
Lion Defense	70	1.e4 d6 2.d4 Nf6 (with no early ...g6): a Pirc/Philidor hybrid where Black plays a small-centre setup and aims for ...e5 break. Solid, offbeat, and a useful surprise weapon against 1.e4.
Czech Defense	71	1.e4 d6 2.d4 Nf6 3.Nc3 c6 — a solid, ultra-passive defense with similarities to the Caro-Kann and Pirc. Low theory, low ambition; a fortress system for defensive players.
Owen Defense	72	1.e4 b6: Black fianchettoes the queen's bishop on move one and builds a hypermodern setup. Offbeat but solid; a great surprise weapon at club level for players who like the Modern Defense's structures but want to dodge mainline anti-Modern theory.
English Defense	73	1.d4 e6 2.c4 b6: Black fianchettoes the queen's bishop and aims for ...Bb4+ or ...f5 setups. Highly unbalanced and a favourite of attacking players who want to dodge mainline 1.d4 prep.
St. George Defense	74	1.e4 a6: an extreme hypermodern joke-with-teeth — Black plays ...a6 first to prepare ...b5 and a queenside fianchetto. Famously beat Karpov in one game. Mostly a club-level curiosity.
Mexican Defense	75	1.d4 Nf6 2.c4 Nc6: an offbeat way to provoke d5 and reach unusual King's-Indian-style structures. Rarely seen at top level.
Mikenas Defense	76	A 1.d4 Nc6 line aiming for ...e5. Offbeat; usually transposes to a Chigorin-flavoured QGD or a worse-Black centre.
Slav Indian	77	1.d4 d5 2.c4 Nf6: an unusual move-order combining Slav and Indian themes. Mostly a transpositional curiosity.
Pseudo Queen's Indian Defense	78	A 1.d4 Nf6 2.Nf3 b6 line that mimics QID without the c4 push. Offbeat sideline.
Marienbad System	79	1.d4 Nf6 2.c4 e6 3.Nf3 b6 with an early ...Bb7 + ...Be7. Sub-variation of the QID family that's mostly a positional-curiosity sideline.
Yusupov-Rubinstein System	80	A 1.d4 d5 system named after Artur Yusupov and Akiba Rubinstein — a positional Colle/Rubinstein hybrid favoured by patient players.
East Indian Defense	81	A King's-Indian-flavoured 1.d4 Nf6 line where Black delays ...g6. Offbeat sub-family.
Queen's Indian Accelerated	82	1.d4 Nf6 2.c4 b6 (skipping ...e6): an unusual move-order trick to reach QID-style positions. Sideline.
Amar Opening	999	1.Nh3: an offbeat, semi-joke opening where the knight goes to the rim. Borderline unsound; mostly seen in blitz pranks.
Amazon Attack	999	1.d4 d5 2.Qd3: a joke / shock opening that develops the queen far too early. Rare and unsound.
Amsterdam Attack	999	1.e3 e5 2.c4: a slow, hypermodern setup where White postpones d4 and plays for an English-like structure with reversed colours. Very rare.
Anderssen's Opening	999	1.a3: a tempo-wasting opening that plans to reverse colours into a Black system. Too passive to be taken seriously.
Australian Defense	999	An obscure 1.d4 sideline. Mostly a curiosity.
Barnes Defense	999	1.e4 f6: weakens Black's king from move one and develops nothing. Not a real defense.
Barnes Opening	999	1.f3: among the worst first moves in chess — weakens the king and develops nothing. Joke / handicap territory only.
Blumenfeld Countergambit	999	1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nf3 b5: a sharp pawn-sacrifice gambit. Tactical surprise weapon, mostly seen at club level.
Blumenfeld Countergambit Accepted	999	(see Blumenfeld Countergambit) — the accepted branch of the Blumenfeld Countergambit family.
Bongcloud Attack	999	1.e4 e5 2.Ke2: the famous joke opening popularised by Hikaru Nakamura. Loses castling rights immediately. Pure entertainment, not real chess.
Borg Defense	999	1.e4 g5: an outlandish kingside flank attack that weakens Black's king for nothing. "Borg" is "Grob" backwards — and this is the Black version of an already-bad opening.
Canard Opening	999	1.d4 f5 2.e4: a semi-joke gambit against the Dutch. Unsound but tricky.
Carr Defense	999	1.e4 h6: a joke / shock defense weakening the kingside. Not real theory.
Center Game Accepted	999	1.e4 e5 2.d4 exd4 — see Center Game; the accepted branch.
Clemenz Opening	999	1.h3: a tempo-wasting flank pawn move. Joke territory.
Creepy Crawly Formation	999	An offbeat 1.h3 + 1.a3 setup. Not serious chess.
Danish Gambit	999	1.e4 e5 2.d4 exd4 3.c3: White sacrifices one or two pawns for a roaring development lead and attacking chances. Unsound at top level but a thrilling club-level surprise.
Danish Gambit Accepted	999	(see Danish Gambit) — Black takes the offered pawns; sharp tactical territory.
Danish Gambit Declined	999	(see Danish Gambit) — Black declines the gambit and plays a normal classical game.
Döry Defense	999	1.d4 Nf6 2.Nf3 Ne4: an early ...Ne4 sortie. Offbeat sideline.
Dresden Opening	999	An obscure White system. Rarely seen.
Duras Gambit	999	1.e4 f5: a kingside Black gambit that mostly loses material. Surprise weapon only.
English Orangutan	999	A 1.c4 + b4 hybrid setup mixing English and Polish themes. Niche surprise weapon.
Formation	999	A catch-all label for highly transpositional system openings. Not a real "opening" by itself.
Fried Fox Defense	999	1.e4 f6 2.d4 Kf7: extreme joke territory — Black walks the king out for no reason.
Global Opening	999	An obscure White system. Rarely seen.
Goldsmith Defense	999	1.e4 h5: weakens the kingside. Joke defense.
Grob Opening	999	1.g4: the most famous "bad" opening — weakens White's king and pieces. Has cult fans who play it for chaos but it's objectively poor.
Gunderam Defense	999	An obscure Black sideline.
Hippopotamus Defense	999	A passive double-fianchetto setup where Black retreats every minor piece to the second rank and waits for White to overextend. Rarely played seriously.
Horwitz Defense	999	1.d4 e6: an offbeat move-order to a French / Queen's Indian / Dutch hybrid. Sideline.
Irish Gambit	999	1.e4 e5 2.Nf3 Nc6 3.Nxe5: White sacrifices a knight for an attack. Unsound; club-level prank only.
Kádas Opening	999	1.h4: extreme flank pawn — borderline joke.
Kangaroo Defense	999	1.d4 e6 2.c4 Bb4+: an early bishop check. Sideline of the English Defense / Bogo-Indian family.
King's Indian Attack, with Bf5	999	A specific KIA branch where Black plays an early ...Bf5. Sideline.
King's Indian Attack, with e6	999	A specific KIA branch where Black plays an early ...e6. Sideline.
King's Knight Opening	999	The umbrella for 1.e4 e5 2.Nf3 lines that haven't yet committed. Practical use is to flag move orders, not as a "system".
Lasker Simul Special	999	A whimsical 1.b4 sideline with no serious theory.
Lemming Defense	999	An ironically named flank-pawn defense. Joke territory.
London System, with Bd3	999	The mainline London bishop development (Bd3). Solid, system-style.
London System, with Be2	999	A passive London variation where the bishop goes to e2 instead of d3. Very quiet.
Mieses Opening	999	1.d3 — a low-ambition system opening that plans to reverse-Philidor or transpose. Rare.
Montevideo Defense	999	An obscure 1.d4 sideline.
Paleface Attack	999	1.d4 with an early Nf3 + Nbd2 setup. Joke-ish nickname for a passive system.
Polish Defense	999	1.d4 b5: Black's queenside flank gambit. Offbeat surprise weapon.
Polish Opening, with d5	999	A 1.b4 sideline where Black plays ...d5. Niche.
Portuguese Opening	999	1.e4 e5 2.Bb5: White plays a Spanish-style bishop development immediately, before Nf3. Tricky offbeat weapon.
Queen's Pawn, Mengarini Attack	999	A specific 1.d4 sideline. Niche.
Rapport-Jobava System, with e6	999	Sub-variation of the Rapport-Jobava family. See parent entry.
Rat Defense	999	1.e4 d6 with no follow-up commitment — usually a Pirc/Modern shell-game. Offbeat label more than a real system.
Robatsch Defense	999	An older name for the Modern Defense (1...g6). Listed as a separate family in some databases for historical reasons.
Saragossa Opening	999	1.c3: a hypermodern, ultra-passive opening that plans to reverse-Caro-Kann. Rare.
Semi-Slav Defense Accepted	999	A move-order curiosity in the Semi-Slav family.
Sodium Attack	999	1.Na3: a joke knight-on-rim opening. Borderline unplayable.
Valencia Opening	999	An obscure 1.e4 system. Rare.
Van Geet Opening	999	1.Nc3: a flexible knight move that often transposes to the Van Geet (Dunst) Sicilian or unusual French-flavoured positions. Niche.
Van't Kruijs Opening	999	1.e3: a passive, ultra-flexible opening. Rare at any serious level.
Vulture Defense	999	A specific Benoni-flavoured sideline. Very rare.
Wade Defense	999	1.d4 d6 2.Nf3 Bg4: an offbeat early bishop development against 1.d4. Niche.
Ware Defense	999	1.e4 a5: weakens the queenside for nothing. Joke territory.
Ware Opening	999	1.a4: a tempo-wasting flank move. Joke territory.
Zaire Defense	999	An obscure 1.d4 sideline. Niche.
Zukertort Defense	999	An obscure 1.d4 sideline named for Johannes Zukertort. Rare.
